Hello,Hello to you!
What are you doing?,I am chatting with you.
How do you work?,I talk to people and try to respond well.
Hello,Hi there!
Hello,Hey!
Hello,It's nice to see you!
Hello,It's nice to see you!
Hello,It's nice to see you!
test,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=test'>test</a>
Hello,Hello to you!
Hello,It's nice to see you!
Hello,Hello to you!
Hello,Hello to you!
Hello,Hey!
Hello,It's nice to see you!
Hello,Hi there!
Hello,Hi there!
test,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=test'>test</a>
Hello,It's nice to see you!
Hello,Hi there!
Hello,Hello to you!
Hello,Hello to you!
Hello,Hey!
Hello,Hi there!
Hello,Hi there!
Hello,Hey!
Hello,It's nice to see you!
Hello,Hello to you!
Hello,Hello to you!
Hello,Hello to you!
test,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=test'>test</a>
Hello,Hello to you!
Hello,It's nice to see you!
Hello,Hello to you!
Hello,It's nice to see you!
Hello,Hi there!
Hello,It's nice to see you!
Hello,It's nice to see you!
Hello,Hello to you!
Hello,It's nice to see you!
Hello!,It's nice to see you!
I don't know what to study,"I can help you with that, in what field are you interested?"
Law,"You might be interested in Legal Practice (Rechtspraktijk). You can find more information <a href=""https://www.erasmushogeschool.be/nl/opleidingen/graduaat-juridisch-administratieve-ondersteuning"">here</a>."
Hello,Hi there!
What can I study?,"Today is Sunday, 12/29/2019"
Can I study Hotel Management?,"You might be interested in Hotel Management. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/hotel-management"">here</a>."
Hotel,"You might be interested in Hotel Management. You can find more information <a href=""https://www.erasmushogeschool.be/en/programmes/hotel-management"">here</a>."
Hello,Hello to you!
What can I study?,"I can help you with that, in what field are you interested?"
